AAST2023,The African American Experience
ACCT3533,Accounting Technology
ACCT3723,Intermediate Accounting I
ACCT3753,Intermediate Accounting II
ACCT3843,Fundamentals of Taxation I
ACCT4673,Product
ACCT4963,Audit and Assurance Services
AERO3013,Air Force Leadership Studies I
AERO3023,Air Force Leadership Studies II
AERO4013,National Security Affairs and Preparation for Active Duty I
AERO4023,National Security Affairs and Preparation for Active Duty II
AGEC1103,Principles of Agricultural Microeconomics
AGEC2103,Principles of Agricultural Macroeconomics
ANTH1014,Introduction to Biological Anthropology (with Lab)
ANTH1023,Introduction to Cultural Anthropology 
ARAB2003,Intermediate Arabic I
ARAB2013,Intermediate Arabic II
ARAB2016,Intensive Arabic II
ARCH1003,Basic Course in the Arts:  Architecture Lecture
ARCH1013,Diversity and Design
ARHS1003,Basic Course in the Arts:  Art Lecture 
ARHS2913,Art History Survey I 
ARHS2923,Art History Survey II 
ASTR2003,Survey of the Universe 
ASTR2004,Survey of the Universe (with Lab)
ASTR301V,Observational Astronomy
ASTR4033,Astrophysics I: Stars and Planetary Systems
ASTR4043,Astrophysics II: Galaxies and the Large-Scale Universe
ASTR4073,Cosmology
ASTR5043,Astrophysics II: Galaxies and the Large-Scale Universe
BENG2632,Biological Engineering Design Studio
BENG2643,Biological Engineering Methods I
BENG3113,Measurement and Control for Biological Systems
BENG3113H,Honors Measurement and Control for Biological Systems
BENG3603,Metrics for Sustainable Agricultural Systems
BENG3653,Global Bio-Energy Engineering
BENG3663,Biological Engineering Methods II
BENG3723,Unit Operations in Biological Engineering
BENG3733,Transport Phenomena in Biological Systems
BENG4123,Biosensors & Bioinstrumentation
BENG450V,Special Problems
BENG451VH,Honors Thesis
BENG452V,Special Topics in Biological Engineering
BENG4663,Sustainable Biosystems Designs
BENG4703,Biotechnology Engineering
BENG4743,Food and Bio-Product Systems Engineering
BENG4753L,Nanotechnology Laboratory
BENG4753M,Honors Nanotechnology Laboratory
BENG4812,Senior Biological Engineering Design I
BENG4823,Senior Biological Engineering Design II
BENG4831,Biological Engineering Professionalism
BENG4933,Sustainable Watershed Engineering
BIOL1524,Biological Principles
BIOL1543,Principles of Biology 
BIOL1544,Principles of Biology (with Lab)
BIOL1584,Biology for Majors
BIOL1604,Principles of Zoology (with Lab)
BIOL1614,Plant Biology (with Lab)
BIOL2013,General Microbiology 
BIOL2014,General Microbiology (with Lab)
BIOL2213,Human Physiology 
BIOL2214,Human Physiology (with Lab)
BIOL2321L,General Genetics Laboratory
BIOL2323,General Genetics
BIOL2444,Human Anatomy (with Lab)
BIOL2533,Cell Biology
BIOL3004,Principles of Plant Pathology
BIOL3011L,Introduction to Insect Identification Lab
BIOL3013,Introduction to Entomology
BIOL3023,Evolutionary Biology
BIOL3123,Prokaryote Biology
BIOL3123H,Honors Prokaryote Biology
BIOL3273,UAteach Research Methods
BIOL3273H,Honors UAteach Research Methods
BIOL3404,Comparative Vertebrate Morphology
BIOL3861L,General Ecology Laboratory
BIOL3863,General Ecology
BIOL3864,General Ecology (with Lab)
BIOL3923H,Honors Colloquium
BIOL4003,Laboratory in Prokaryote Biology
BIOL4013,Insect Behavior and Chemical Ecology
BIOL4024,Insect Diversity and Taxonomy
BIOL4053,Insect Ecology
BIOL4104,Taxonomy of Flowering Plants
BIOL4114,Dendrology
BIOL4122,Food Microbiology
BIOL4133,Plant Disease Control
BIOL4143,Advanced Methods in Microscopy
BIOL4153,Biology of Global Change
BIOL4154H,Honors Biology of Global Change
BIOL4163,Dynamic Models in Biology
BIOL4174,Conservation Genetics
BIOL4213,Biological Regulation and Subcellular Communication
BIOL4233,Genomics and Bioinformatics
BIOL4233H,Honors Genomics and Bioinformatics
BIOL4234,Comparative Physiology
BIOL4252,Biology of Global Change Seminar
BIOL4252H,Honors Biology of Global Change Seminar
BIOL4263,Cell Physiology
BIOL4263H,Honors Cell Physiology
BIOL4273,Endocrinology
BIOL4303,Plant Physiology
BIOL4313,Molecular Cell Biology
BIOL4313H,Honors Molecular Cell Biology
BIOL4323,Comparative Neurobiology
BIOL4333,Biotechnology in Agriculture
BIOL4353,Ecological Genetics/Genomics
BIOL4404,Comparative Botany
BIOL4424,Mycology
BIOL4433,Principles of Evolution
BIOL4463,Physiological Ecology
BIOL4511L,Population Ecology Laboratory
BIOL4513,Population Ecology
BIOL4514,Population Ecology (with Lab)
BIOL4523,Plant Ecology
BIOL4543,Developmental Biology
BIOL4554,Developmental Biology with Laboratory
BIOL4563,Cancer Biology
BIOL4613,Primate Adaptation and Evolution
BIOL4634,Wetlands Ecology and Management
BIOL4693,Forest Ecology
BIOL4703,Mechanisms of Pathogenesis
BIOL4703H,Honors Mechanisms of Pathogenesis
BIOL4711L,Basic Immunology Laboratory
BIOL4713,Basic Immunology
BIOL4713H,Honors Basic Immunology
BIOL4714,Basic Immunology (with Lab)
BIOL4724,Protistology
BIOL4734,Wildlife Management Techniques
BIOL4744,Fish Biology
BIOL4753,General Virology
BIOL4763,Ornithology
BIOL4774,Biometry
BIOL4783,Mammalogy
BIOL4793,Introduction to Neurobiology
